GEOID,County,Neighborhood_type,categorical_average
06037300100,Los Angeles,50+ NL White,Above Average
06037620601,Los Angeles,Other,Zero Day Count
06037291210,Los Angeles,Other,Zero Day Count
06037573902,Los Angeles,50+ NL White,Zero Day Count
06037571502,Los Angeles,Other,Zero Day Count
06037570003,Los Angeles,Other,Zero Day Count
06037603301,Los Angeles,Other,Zero Day Count
06037603500,Los Angeles,50+ Latino,Zero Day Count
06037554516,Los Angeles,Other,Zero Day Count
06037554517,Los Angeles,Other,Zero Day Count
06037554201,Los Angeles,50+ Latino,Zero Day Count
06037554802,Los Angeles,Other,Zero Day Count
06037542401,Los Angeles,50+ Latino,Zero Day Count
06037543502,Los Angeles,50+ Latino,Zero Day Count
06037600702,Los Angeles,Other,Zero Day Count
06037532102,Los Angeles,70+ Latino,Below/Equal Average
06037277200,Los Angeles,Other,Zero Day Count
06037128302,Los Angeles,50+ Latino,Below/Equal Average
06037276500,Los Angeles,50+ NL White,Zero Day Count
06037553601,Los Angeles,70+ Latino,Below/Equal Average
06037551900,Los Angeles,50+ Latino,Below/Equal Average
06037240700,Los Angeles,70+ Latino,Zero Day Count
06037434001,Los Angeles,70+ Latino,Above Average
06037123104,Los Angeles,50+ Latino,Above Average
06037534201,Los Angeles,70+ Latino,Below/Equal Average
06037534404,Los Angeles,70+ Latino,Zero Day Count
06037532700,Los Angeles,70+ Latino,Zero Day Count
06037238310,Los Angeles,70+ Latino,Zero Day Count
06037531602,Los Angeles,70+ Latino,Below/Equal Average
06037533603,Los Angeles,70+ Latino,Zero Day Count
06037540902,Los Angeles,Other,Zero Day Count
06037231210,Los Angeles,50+ Latino,Zero Day Count
06037229100,Los Angeles,70+ Latino,Zero Day Count
06037600501,Los Angeles,Other,Zero Day Count
06037534700,Los Angeles,70+ Latino,Zero Day Count
06037601900,Los Angeles,70+ Latino,Zero Day Count
06037575401,Los Angeles,70+ Latino,Zero Day Count
06037576401,Los Angeles,70+ Latino,Zero Day Count
06037576501,Los Angeles,Other,Zero Day Count
06037101220,Los Angeles,Other,Above Average
06037293304,Los Angeles,50+ Latino,Zero Day Count
06037271300,Los Angeles,50+ NL White,Zero Day Count
06037218110,Los Angeles,50+ Latino,Zero Day Count
06037407301,Los Angeles,70+ Latino,Above Average
06037481102,Los Angeles,Other,Above Average
06037480803,Los Angeles,50+ Latino,Above Average
06037481300,Los Angeles,Other,Above Average
06037463000,Los Angeles,Other,Above Average
06037214700,Los Angeles,70+ NL White,Zero Day Count
06037191610,Los Angeles,50+ Latino,Below/Equal Average
06037191810,Los Angeles,50+ Latino,Below/Equal Average
06037191620,Los Angeles,50+ Latino,Below/Equal Average
06037190902,Los Angeles,50+ Latino,Below/Equal Average
06037187300,Los Angeles,50+ NL White,Below/Equal Average
06037137502,Los Angeles,50+ NL White,Below/Equal Average
06037302302,Los Angeles,Other,Below/Equal Average
06037104620,Los Angeles,70+ Latino,Above Average
06037302002,Los Angeles,50+ NL White,Below/Equal Average
06037301204,Los Angeles,50+ NL White,Below/Equal Average
06037405900,Los Angeles,50+ Latino,Above Average
06037123303,Los Angeles,50+ Latino,Below/Equal Average
06037920041,Los Angeles,Other,Above Average
06037123204,Los Angeles,70+ Latino,Below/Equal Average
06037123205,Los Angeles,70+ Latino,Below/Equal Average
06037121600,Los Angeles,Other,Below/Equal Average
06037120030,Los Angeles,70+ Latino,Below/Equal Average
06037910602,Los Angeles,50+ Latino,Above Average
06037405001,Los Angeles,70+ Latino,Above Average
06037117404,Los Angeles,Other,Below/Equal Average
06037113234,Los Angeles,50+ Latino,Above Average
06037311100,Los Angeles,50+ NL White,Above Average
06037222600,Los Angeles,Other,Zero Day Count
06037310701,Los Angeles,50+ NL White,Above Average
06037134520,Los Angeles,70+ Latino,Below/Equal Average
06037134101,Los Angeles,50+ Latino,Below/Equal Average
06037127920,Los Angeles,50+ NL White,Below/Equal Average
06037107010,Los Angeles,70+ Latino,Above Average
06037482301,Los Angeles,Other,Above Average
06037481604,Los Angeles,Other,Below/Equal Average
06037213401,Los Angeles,70+ Latino,Zero Day Count
06037212410,Los Angeles,50+ Latino,Zero Day Count
06037481714,Los Angeles,Other,Below/Equal Average
06037211410,Los Angeles,Other,Below/Equal Average
06037236400,Los Angeles,Other,Zero Day Count
06037208902,Los Angeles,70+ Latino,Zero Day Count
06037402501,Los Angeles,70+ Latino,Above Average
06037228900,Los Angeles,70+ Latino,Zero Day Count
06037227020,Los Angeles,70+ Latino,Zero Day Count
06037204410,Los Angeles,70+ Latino,Zero Day Count
06037530902,Los Angeles,70+ Latino,Below/Equal Average
06037702201,Los Angeles,50+ NL White,Zero Day Count
06037222500,Los Angeles,50+ Latino,Zero Day Count
06037701501,Los Angeles,50+ NL White,Zero Day Count
06037219300,Los Angeles,50+ Latino,Zero Day Count
06037113237,Los Angeles,Other,Above Average
06037117101,Los Angeles,Other,Above Average
06037124204,Los Angeles,50+ Latino,Below/Equal Average
06037104704,Los Angeles,70+ Latino,Above Average
06037127603,Los Angeles,70+ Latino,Below/Equal Average
06037139001,Los Angeles,50+ NL White,Below/Equal Average
06037402804,Los Angeles,70+ Latino,Above Average
06037461902,Los Angeles,Other,Above Average
06037125501,Los Angeles,50+ NL White,Above Average
06037189201,Los Angeles,50+ NL White,Below/Equal Average
06037195803,Los Angeles,Other,Below/Equal Average
06037207103,Los Angeles,Other,Zero Day Count
06037405302,Los Angeles,50+ Latino,Above Average
06037502004,Los Angeles,70+ Latino,Above Average
06037134904,Los Angeles,Other,Below/Equal Average
06037211704,Los Angeles,Other,Below/Equal Average
06037221304,Los Angeles,50+ Latino,Zero Day Count
06037237401,Los Angeles,70+ Latino,Zero Day Count
06037554203,Los Angeles,50+ Latino,Zero Day Count
06037191301,Los Angeles,Other,Below/Equal Average
06037265602,Los Angeles,70+ NL White,Zero Day Count
06037272201,Los Angeles,Other,Zero Day Count
06037302505,Los Angeles,50+ NL White,Below/Equal Average
06037199201,Los Angeles,50+ Latino,Below/Equal Average
06037209103,Los Angeles,70+ Latino,Zero Day Count
06037216402,Los Angeles,50+ NL White,Zero Day Count
06037221401,Los Angeles,Other,Zero Day Count
06037237101,Los Angeles,70+ Latino,Zero Day Count
06037267403,Los Angeles,50+ NL White,Zero Day Count
06037408139,Los Angeles,70+ Latino,Above Average
06037124902,Los Angeles,Other,Below/Equal Average
06037570403,Los Angeles,70+ Latino,Zero Day Count
06037104822,Los Angeles,70+ Latino,Above Average
06037550601,Los Angeles,70+ Latino,Below/Equal Average
06037104203,Los Angeles,70+ Latino,Above Average
06037901009,Los Angeles,Other,Above Average
06037910606,Los Angeles,70+ Latino,Above Average
06037600304,Los Angeles,50+ Latino,Zero Day Count
06037701304,Los Angeles,70+ NL White,Zero Day Count
06037602505,Los Angeles,50+ Latino,Zero Day Count
06037650004,Los Angeles,Other,Zero Day Count
06037651102,Los Angeles,Other,Zero Day Count
06037481711,Los Angeles,Other,Below/Equal Average
06037603802,Los Angeles,50+ Latino,Zero Day Count
06037554204,Los Angeles,50+ Latino,Zero Day Count
06037132301,Los Angeles,50+ Latino,Below/Equal Average
06037104322,Los Angeles,70+ Latino,Above Average
06037271804,Los Angeles,50+ NL White,Zero Day Count
06037224702,Los Angeles,Other,Zero Day Count
06037224701,Los Angeles,Other,Zero Day Count
06037207308,Los Angeles,50+ NL White,Zero Day Count
06037207306,Los Angeles,Other,Zero Day Count
06037206054,Los Angeles,70+ Latino,Zero Day Count
06037264303,Los Angeles,70+ NL White,Zero Day Count
06037209105,Los Angeles,70+ Latino,Zero Day Count
06037214504,Los Angeles,Other,Zero Day Count
06037207307,Los Angeles,Other,Zero Day Count
06037408900,Los Angeles,Other,Above Average
06037431701,Los Angeles,Other,Above Average
06037602512,Los Angeles,Other,Zero Day Count
06037980012,Los Angeles,50+ Latino,Below/Equal Average
06037910405,Los Angeles,70+ Latino,Above Average
06037900807,Los Angeles,Other,Above Average
06037910719,Los Angeles,70+ Latino,Above Average
06037189704,Los Angeles,70+ NL White,Below/Equal Average
06037189501,Los Angeles,70+ NL White,Below/Equal Average
06037431004,Los Angeles,50+ Latino,Above Average
06037137202,Los Angeles,50+ NL White,Below/Equal Average
06037577700,Los Angeles,50+ Latino,Zero Day Count
06037603007,Los Angeles,Other,Zero Day Count
06037570306,Los Angeles,50+ Latino,Zero Day Count
06037620802,Los Angeles,70+ NL White,Zero Day Count
06037134802,Los Angeles,Other,Below/Equal Average
06037555105,Los Angeles,Other,Zero Day Count
06037551204,Los Angeles,70+ Latino,Below/Equal Average
06037131023,Los Angeles,50+ Latino,Below/Equal Average
06037243001,Los Angeles,70+ Latino,Zero Day Count
06037119004,Los Angeles,70+ Latino,Below/Equal Average
06037232701,Los Angeles,70+ Latino,Zero Day Count
06037232602,Los Angeles,70+ Latino,Zero Day Count
06037273404,Los Angeles,70+ NL White,Zero Day Count
06037980030,Los Angeles,Other,Zero Day Count
06037542200,Los Angeles,50+ Latino,Zero Day Count
06037601801,Los Angeles,70+ Latino,Zero Day Count
06037530301,Los Angeles,70+ Latino,Below/Equal Average
06037433804,Los Angeles,70+ Latino,Above Average
06037430802,Los Angeles,Other,Above Average
06037405702,Los Angeles,50+ Latino,Above Average
06037135202,Los Angeles,50+ NL White,Below/Equal Average
06037135201,Los Angeles,50+ NL White,Below/Equal Average
06037920313,Los Angeles,Other,Above Average
06037131100,Los Angeles,Other,Below/Equal Average
06037920328,Los Angeles,50+ NL White,Above Average
06037111100,Los Angeles,Other,Above Average
06037128500,Los Angeles,50+ NL White,Below/Equal Average
06037264000,Los Angeles,70+ NL White,Zero Day Count
06037214800,Los Angeles,50+ NL White,Zero Day Count
06037212800,Los Angeles,Other,Zero Day Count
06037404903,Los Angeles,50+ Latino,Above Average
06037482702,Los Angeles,Other,Below/Equal Average
06037532101,Los Angeles,70+ Latino,Below/Equal Average
06037212204,Los Angeles,70+ Latino,Zero Day Count
06037211910,Los Angeles,50+ Latino,Below/Equal Average
06037211320,Los Angeles,50+ Latino,Below/Equal Average
06037209810,Los Angeles,70+ Latino,Zero Day Count
06037403402,Los Angeles,Other,Above Average
06037480901,Los Angeles,Other,Below/Equal Average
06037232120,Los Angeles,70+ Latino,Zero Day Count
06037231500,Los Angeles,50+ Latino,Zero Day Count
06037208710,Los Angeles,Other,Zero Day Count
06037402801,Los Angeles,70+ Latino,Above Average
06037531604,Los Angeles,70+ Latino,Below/Equal Average
06037531102,Los Angeles,70+ Latino,Below/Equal Average
06037231400,Los Angeles,70+ Latino,Zero Day Count
06037228310,Los Angeles,70+ Latino,Zero Day Count
06037203710,Los Angeles,70+ Latino,Below/Equal Average
06037222200,Los Angeles,70+ Latino,Zero Day Count
06037221500,Los Angeles,50+ Latino,Zero Day Count
06037199202,Los Angeles,50+ Latino,Below/Equal Average
06037407400,Los Angeles,50+ Latino,Above Average
06037701302,Los Angeles,70+ NL White,Zero Day Count
06037218900,Los Angeles,Other,Zero Day Count
06037218800,Los Angeles,50+ Latino,Zero Day Count
06037192510,Los Angeles,Other,Below/Equal Average
06037670413,Los Angeles,Other,Zero Day Count
06037504101,Los Angeles,70+ Latino,Below/Equal Average
06037651001,Los Angeles,Other,Zero Day Count
06037650501,Los Angeles,Other,Zero Day Count
06037103102,Los Angeles,50+ NL White,Above Average
06037620602,Los Angeles,50+ NL White,Zero Day Count
06037293302,Los Angeles,Other,Zero Day Count
06037574201,Los Angeles,Other,Zero Day Count
06037571701,Los Angeles,70+ Latino,Zero Day Count
06037570601,Los Angeles,50+ Latino,Zero Day Count
06037555211,Los Angeles,70+ Latino,Zero Day Count
06037570001,Los Angeles,Other,Zero Day Count
06037603302,Los Angeles,Other,Zero Day Count
06037603600,Los Angeles,Other,Zero Day Count
06037603004,Los Angeles,Other,Zero Day Count
06037554001,Los Angeles,50+ Latino,Below/Equal Average
06037554801,Los Angeles,50+ Latino,Zero Day Count
06037554514,Los Angeles,Other,Zero Day Count
06037554515,Los Angeles,Other,Zero Day Count
06037540600,Los Angeles,70+ Latino,Zero Day Count
06037541604,Los Angeles,70+ Latino,Zero Day Count
06037601301,Los Angeles,Other,Zero Day Count
06037600400,Los Angeles,Other,Zero Day Count
06037503601,Los Angeles,50+ Latino,Above Average
06037620002,Los Angeles,50+ NL White,Zero Day Count
06037291130,Los Angeles,50+ Latino,Zero Day Count
06037277100,Los Angeles,Other,Zero Day Count
06037602103,Los Angeles,50+ Latino,Zero Day Count
06037407001,Los Angeles,70+ Latino,Above Average
06037501503,Los Angeles,70+ Latino,Above Average
06037275311,Los Angeles,Other,Zero Day Count
06037403702,Los Angeles,Other,Above Average
06037503000,Los Angeles,70+ Latino,Above Average
06037273600,Los Angeles,70+ NL White,Zero Day Count
06037242300,Los Angeles,70+ Latino,Zero Day Count
06037553602,Los Angeles,70+ Latino,Below/Equal Average
06037240800,Los Angeles,70+ Latino,Zero Day Count
06037238200,Los Angeles,Other,Zero Day Count
06037500500,Los Angeles,70+ Latino,Below/Equal Average
06037540102,Los Angeles,70+ Latino,Zero Day Count
06037536000,Los Angeles,70+ Latino,Zero Day Count
06037535606,Los Angeles,70+ Latino,Zero Day Count
06037240010,Los Angeles,70+ Latino,Zero Day Count
06037237500,Los Angeles,70+ Latino,Zero Day Count
06037535701,Los Angeles,70+ Latino,Zero Day Count
06037533702,Los Angeles,70+ Latino,Below/Equal Average
06037533403,Los Angeles,70+ Latino,Below/Equal Average
06037533601,Los Angeles,70+ Latino,Below/Equal Average
06037232500,Los Angeles,50+ Latino,Zero Day Count
06037541605,Los Angeles,70+ Latino,Zero Day Count
06037533104,Los Angeles,70+ Latino,Zero Day Count
06037532606,Los Angeles,70+ Latino,Zero Day Count
06037534101,Los Angeles,70+ Latino,Below/Equal Average
06037229300,Los Angeles,70+ Latino,Zero Day Count
06037702700,Los Angeles,50+ NL White,Zero Day Count
06037127220,Los Angeles,70+ Latino,Below/Equal Average
06037540000,Los Angeles,70+ Latino,Zero Day Count
06037534501,Los Angeles,70+ Latino,Zero Day Count
06037191000,Los Angeles,Other,Below/Equal Average
06037601211,Los Angeles,50+ Latino,Zero Day Count
06037576502,Los Angeles,50+ Latino,Zero Day Count
06037577100,Los Angeles,50+ NL White,Zero Day Count
06037577400,Los Angeles,70+ NL White,Zero Day Count
06037670002,Los Angeles,Other,Zero Day Count
06037297110,Los Angeles,50+ Latino,Zero Day Count
06037272301,Los Angeles,50+ NL White,Zero Day Count
06037271100,Los Angeles,Other,Zero Day Count
06037218400,Los Angeles,50+ Latino,Zero Day Count
06037219020,Los Angeles,50+ Latino,Zero Day Count
06037701602,Los Angeles,Other,Zero Day Count
06037269100,Los Angeles,70+ NL White,Zero Day Count
06037407102,Los Angeles,70+ Latino,Above Average
06037430600,Los Angeles,Other,Above Average
06037480702,Los Angeles,Other,Above Average
06037191203,Los Angeles,Other,Below/Equal Average
06037463700,Los Angeles,50+ NL White,Above Average
06037462600,Los Angeles,50+ NL White,Above Average
06037462100,Los Angeles,50+ Latino,Above Average
06037201501,Los Angeles,70+ Latino,Below/Equal Average
06037199120,Los Angeles,50+ Latino,Below/Equal Average
06037123420,Los Angeles,50+ Latino,Below/Equal Average
06037183610,Los Angeles,50+ Latino,Above Average
06037213100,Los Angeles,Other,Zero Day Count
06037141400,Los Angeles,50+ NL White,Below/Equal Average
06037139302,Los Angeles,Other,Below/Equal Average
06037131600,Los Angeles,50+ Latino,Below/Equal Average
06037124600,Los Angeles,70+ NL White,Below/Equal Average
06037106113,Los Angeles,70+ Latino,Above Average
06037302201,Los Angeles,70+ NL White,Below/Equal Average
06037104401,Los Angeles,70+ Latino,Above Average
06037920322,Los Angeles,50+ NL White,Above Average
06037910301,Los Angeles,50+ NL White,Above Average
06037301702,Los Angeles,50+ NL White,Below/Equal Average
06037301501,Los Angeles,70+ NL White,Above Average
06037131900,Los Angeles,Other,Below/Equal Average
06037124300,Los Angeles,Other,Above Average
06037123410,Los Angeles,Other,Below/Equal Average
06037920112,Los Angeles,50+ NL White,Above Average
06037403901,Los Angeles,50+ Latino,Above Average
06037401901,Los Angeles,Other,Above Average
06037120300,Los Angeles,Other,Below/Equal Average
06037910404,Los Angeles,50+ Latino,Above Average
06037910502,Los Angeles,70+ Latino,Above Average
06037401002,Los Angeles,Other,Above Average
06037404401,Los Angeles,70+ Latino,Above Average
06037117530,Los Angeles,70+ Latino,Below/Equal Average
06037117301,Los Angeles,Other,Above Average
06037900501,Los Angeles,50+ Latino,Above Average
06037900806,Los Angeles,Other,Above Average
06037311500,Los Angeles,50+ NL White,Above Average
06037113212,Los Angeles,Other,Above Average
06037106010,Los Angeles,50+ Latino,Above Average
06037311200,Los Angeles,50+ NL White,Above Average
06037311000,Los Angeles,50+ NL White,Above Average
06037117408,Los Angeles,70+ Latino,Below/Equal Average
06037119202,Los Angeles,70+ Latino,Above Average
06037120107,Los Angeles,70+ Latino,Below/Equal Average
06037123902,Los Angeles,Other,Below/Equal Average
06037310602,Los Angeles,50+ NL White,Above Average
06037102105,Los Angeles,50+ Latino,Above Average
06037104821,Los Angeles,70+ Latino,Below/Equal Average
06037127605,Los Angeles,70+ Latino,Below/Equal Average
06037132001,Los Angeles,Other,Below/Equal Average
06037134521,Los Angeles,70+ Latino,Below/Equal Average
06037183103,Los Angeles,50+ Latino,Above Average
06037186301,Los Angeles,50+ Latino,Below/Equal Average
06037402705,Los Angeles,70+ Latino,Above Average
06037461502,Los Angeles,Other,Above Average
06037462001,Los Angeles,70+ Latino,Above Average
06037111206,Los Angeles,Other,Above Average
06037121802,Los Angeles,70+ Latino,Below/Equal Average
06037189905,Los Angeles,50+ NL White,Below/Equal Average
06037481606,Los Angeles,Other,Below/Equal Average
06037127804,Los Angeles,50+ Latino,Below/Equal Average
06037134002,Los Angeles,50+ Latino,Below/Equal Average
06037211122,Los Angeles,Other,Below/Equal Average
06037211803,Los Angeles,Other,Below/Equal Average
06037214501,Los Angeles,Other,Zero Day Count
06037215102,Los Angeles,Other,Zero Day Count
06037237402,Los Angeles,50+ Latino,Zero Day Count
06037239201,Los Angeles,70+ Latino,Zero Day Count
06037408505,Los Angeles,Other,Above Average
06037433306,Los Angeles,50+ Latino,Above Average
06037554301,Los Angeles,70+ Latino,Zero Day Count
06037141303,Los Angeles,50+ NL White,Below/Equal Average
06037187101,Los Angeles,Other,Below/Equal Average
06037265201,Los Angeles,50+ NL White,Zero Day Count
06037269601,Los Angeles,Other,Zero Day Count
06037275102,Los Angeles,70+ Latino,Zero Day Count
06037293307,Los Angeles,50+ Latino,Zero Day Count
06037297201,Los Angeles,50+ Latino,Zero Day Count
06037302401,Los Angeles,Other,Below/Equal Average
06037503105,Los Angeles,70+ Latino,Above Average
06037503106,Los Angeles,70+ Latino,Above Average
06037221402,Los Angeles,Other,Zero Day Count
06037239602,Los Angeles,70+ Latino,Zero Day Count
06037302503,Los Angeles,50+ NL White,Below/Equal Average
06037265601,Los Angeles,70+ NL White,Zero Day Count
06037571504,Los Angeles,Other,Zero Day Count
06037533001,Los Angeles,70+ Latino,Zero Day Count
06037134522,Los Angeles,50+ Latino,Below/Equal Average
06037190401,Los Angeles,50+ NL White,Below/Equal Average
06037552302,Los Angeles,Other,Zero Day Count
06037262601,Los Angeles,70+ NL White,Zero Day Count
06037104403,Los Angeles,70+ Latino,Above Average
06037183104,Los Angeles,Other,Above Average
06037551401,Los Angeles,70+ Latino,Below/Equal Average
06037207102,Los Angeles,Other,Zero Day Count
06037106406,Los Angeles,70+ Latino,Above Average
06037900505,Los Angeles,50+ Latino,Above Average
06037900608,Los Angeles,50+ Latino,Above Average
06037910714,Los Angeles,70+ Latino,Above Average
06037620904,Los Angeles,70+ NL White,Zero Day Count
06037602504,Los Angeles,50+ Latino,Zero Day Count
06037602506,Los Angeles,Other,Zero Day Count
06037650003,Los Angeles,Other,Zero Day Count
06037700502,Los Angeles,50+ NL White,Zero Day Count
06037900508,Los Angeles,Other,Above Average
06037910712,Los Angeles,50+ Latino,Above Average
06037600602,Los Angeles,70+ Latino,Zero Day Count
06037980005,Los Angeles,Other,Zero Day Count
06037533002,Los Angeles,70+ Latino,Zero Day Count
06037603801,Los Angeles,50+ Latino,Zero Day Count
06037552301,Los Angeles,50+ Latino,Below/Equal Average
06037573004,Los Angeles,50+ Latino,Zero Day Count
06037573102,Los Angeles,50+ Latino,Zero Day Count
06037800205,Los Angeles,50+ NL White,Below/Equal Average
06037555106,Los Angeles,50+ Latino,Zero Day Count
06037543606,Los Angeles,Other,Zero Day Count
06037570503,Los Angeles,70+ Latino,Zero Day Count
06037604101,Los Angeles,70+ Latino,Zero Day Count
06037125101,Los Angeles,Other,Below/Equal Average
06037139505,Los Angeles,Other,Below/Equal Average
06037131802,Los Angeles,Other,Below/Equal Average
06037293205,Los Angeles,50+ Latino,Zero Day Count
06037603705,Los Angeles,Other,Zero Day Count
06037602511,Los Angeles,Other,Zero Day Count
06037980037,Los Angeles,Other,Zero Day Count
06037551001,Los Angeles,70+ Latino,Below/Equal Average
06037650607,Los Angeles,Other,Zero Day Count
06037240301,Los Angeles,50+ Latino,Zero Day Count
06037242201,Los Angeles,70+ Latino,Zero Day Count
06037131021,Los Angeles,50+ Latino,Below/Equal Average
06037231602,Los Angeles,70+ Latino,Zero Day Count
06037265203,Los Angeles,50+ NL White,Zero Day Count
06037980025,Los Angeles,Other,Zero Day Count
06037980039,Los Angeles,Other,Below/Equal Average
06037543100,Los Angeles,50+ Latino,Zero Day Count
06037602700,Los Angeles,Other,Zero Day Count
06037601700,Los Angeles,70+ Latino,Zero Day Count
06037501002,Los Angeles,70+ Latino,Above Average
06037408141,Los Angeles,70+ Latino,Above Average
06037405800,Los Angeles,50+ Latino,Above Average
06037431300,Los Angeles,Other,Above Average
06037500204,Los Angeles,50+ NL White,Above Average
06037135115,Los Angeles,Other,Below/Equal Average
06037119003,Los Angeles,70+ Latino,Above Average
06037231901,Los Angeles,70+ Latino,Zero Day Count
06037409100,Los Angeles,50+ Latino,Above Average
06037551002,Los Angeles,70+ Latino,Below/Equal Average
06037533108,Los Angeles,70+ Latino,Zero Day Count
06037533204,Los Angeles,70+ Latino,Zero Day Count
06037407202,Los Angeles,70+ Latino,Above Average
06037264305,Los Angeles,70+ NL White,Zero Day Count
06037217102,Los Angeles,Other,Zero Day Count
06037216202,Los Angeles,Other,Zero Day Count
06037402601,Los Angeles,70+ Latino,Above Average
06037199801,Los Angeles,50+ Latino,Below/Equal Average
06037402602,Los Angeles,50+ Latino,Above Average
06037214903,Los Angeles,70+ NL White,Zero Day Count
06037404804,Los Angeles,70+ Latino,Above Average
06037432001,Los Angeles,Other,Above Average
06037190701,Los Angeles,Other,Below/Equal Average
06037910815,Los Angeles,50+ NL White,Above Average
06037480601,Los Angeles,Other,Above Average
06037300503,Los Angeles,Other,Above Average
06037555300,Los Angeles,50+ Latino,Below/Equal Average
06037240901,Los Angeles,70+ Latino,Zero Day Count
06037920046,Los Angeles,50+ Latino,Above Average
06037115204,Los Angeles,Other,Above Average
06037104823,Los Angeles,70+ Latino,Below/Equal Average
06037910717,Los Angeles,70+ Latino,Above Average
06037910215,Los Angeles,50+ Latino,Above Average
06037900510,Los Angeles,Other,Above Average
06037910721,Los Angeles,Other,Above Average
06037143302,Los Angeles,70+ NL White,Below/Equal Average
06037143102,Los Angeles,50+ NL White,Below/Equal Average
06037128703,Los Angeles,50+ NL White,Below/Equal Average
06037135116,Los Angeles,50+ NL White,Below/Equal Average
06037269908,Los Angeles,Other,Zero Day Count
06037120106,Los Angeles,70+ Latino,Below/Equal Average
06037106405,Los Angeles,70+ Latino,Above Average
06037135113,Los Angeles,50+ NL White,Below/Equal Average
06037115404,Los Angeles,Other,Above Average
06037190801,Los Angeles,Other,Below/Equal Average
06037208802,Los Angeles,Other,Zero Day Count
06037128101,Los Angeles,Other,Below/Equal Average
06037212102,Los Angeles,Other,Zero Day Count
06037239601,Los Angeles,70+ Latino,Zero Day Count
06037552002,Los Angeles,50+ Latino,Below/Equal Average
06037269905,Los Angeles,Other,Zero Day Count
06037571704,Los Angeles,50+ Latino,Zero Day Count
06037209104,Los Angeles,70+ Latino,Zero Day Count
06037221601,Los Angeles,70+ Latino,Zero Day Count
06037239701,Los Angeles,70+ Latino,Zero Day Count
06037553503,Los Angeles,70+ Latino,Below/Equal Average
06037207101,Los Angeles,Other,Zero Day Count
06037900506,Los Angeles,Other,Above Average
06037604002,Los Angeles,50+ Latino,Zero Day Count
06037600303,Los Angeles,70+ Latino,Zero Day Count
06037910713,Los Angeles,70+ Latino,Above Average
06037603006,Los Angeles,Other,Zero Day Count
06037601001,Los Angeles,Other,Zero Day Count
06037503202,Los Angeles,70+ Latino,Above Average
06037408212,Los Angeles,Other,Above Average
06037242600,Los Angeles,50+ Latino,Zero Day Count
06037240500,Los Angeles,70+ Latino,Zero Day Count
06037123206,Los Angeles,70+ Latino,Above Average
06037532500,Los Angeles,70+ Latino,Zero Day Count
06037535502,Los Angeles,70+ Latino,Zero Day Count
06037533902,Los Angeles,70+ Latino,Below/Equal Average
06037534102,Los Angeles,70+ Latino,Below/Equal Average
06037534301,Los Angeles,70+ Latino,Below/Equal Average
06037575802,Los Angeles,70+ Latino,Zero Day Count
06037575901,Los Angeles,Other,Zero Day Count
06037576802,Los Angeles,Other,Zero Day Count
06037407101,Los Angeles,70+ Latino,Above Average
06037481401,Los Angeles,Other,Below/Equal Average
06037461600,Los Angeles,50+ Latino,Above Average
06037195600,Los Angeles,Other,Below/Equal Average
06037195720,Los Angeles,Other,Below/Equal Average
06037183620,Los Angeles,50+ Latino,Above Average
06037224010,Los Angeles,50+ Latino,Zero Day Count
06037104201,Los Angeles,70+ Latino,Above Average
06037301203,Los Angeles,70+ NL White,Below/Equal Average
06037405101,Los Angeles,50+ Latino,Above Average
06037401201,Los Angeles,Other,Above Average
06037122120,Los Angeles,70+ Latino,Above Average
06037910501,Los Angeles,50+ Latino,Above Average
06037134305,Los Angeles,70+ Latino,Above Average
06037530802,Los Angeles,70+ Latino,Below/Equal Average
06037106641,Los Angeles,70+ NL White,Above Average
06037481603,Los Angeles,Other,Below/Equal Average
06037212610,Los Angeles,Other,Zero Day Count
06037211500,Los Angeles,Other,Below/Equal Average
06037208720,Los Angeles,70+ Latino,Zero Day Count
06037206020,Los Angeles,Other,Zero Day Count
06037227010,Los Angeles,70+ Latino,Zero Day Count
06037404702,Los Angeles,50+ Latino,Above Average
06037224410,Los Angeles,50+ Latino,Zero Day Count
06037701802,Los Angeles,Other,Zero Day Count
06037575201,Los Angeles,50+ Latino,Zero Day Count
06037650102,Los Angeles,Other,Zero Day Count
06037573700,Los Angeles,Other,Zero Day Count
06037570204,Los Angeles,50+ Latino,Zero Day Count
06037554513,Los Angeles,Other,Zero Day Count
06037543703,Los Angeles,50+ Latino,Zero Day Count
06037542501,Los Angeles,50+ Latino,Zero Day Count
06037181400,Los Angeles,Other,Above Average
06037302102,Los Angeles,50+ NL White,Above Average
06037127300,Los Angeles,50+ Latino,Below/Equal Average
06037123700,Los Angeles,Other,Below/Equal Average
06037403802,Los Angeles,50+ Latino,Above Average
06037120020,Los Angeles,70+ Latino,Below/Equal Average
06037800325,Los Angeles,70+ NL White,Below/Equal Average
06037460502,Los Angeles,50+ NL White,Above Average
06037900701,Los Angeles,Other,Above Average
06037267700,Los Angeles,Other,Zero Day Count
06037405203,Los Angeles,50+ Latino,Above Average
06037208610,Los Angeles,50+ Latino,Below/Equal Average
06037402902,Los Angeles,70+ Latino,Above Average
06037531202,Los Angeles,70+ Latino,Below/Equal Average
06037117102,Los Angeles,50+ Latino,Above Average
06037119342,Los Angeles,70+ Latino,Above Average
06037121801,Los Angeles,70+ Latino,Below/Equal Average
06037620501,Los Angeles,Other,Zero Day Count
06037620901,Los Angeles,50+ NL White,Zero Day Count
